state,x,y
Andhra Pradesh,-89.0,-206.0
Arunachal Pradesh,259.0,120.0
Assam,237.0,77.0
Bihar,63.0,66.0
Chhattisgarh,-29.0,-43.0
Goa,-191.0,-195.0
Gujarat,-262.0,-9.0
Haryana,-151.0,154.0
Himachal Pradesh,-126.0, 230.0
Jammu Kashmir,-153.0,296.0
Jharkhand,52.0,10.0
Karnataka,-167.0,-214.0
Kerala,-129.0,-327.0
Madhya Pradesh,-139.0,-10.0
Maharashtra,-193.0,-105.0
Manipur,261.0,36.0
Meghalaya,189.0,52.0
Mizoram,237.0 ,-4.0
Nagaland,278.0,65.0
Odisha,29.0,-70.0
Punjab,-179.0,186.0
Rajasthan,-256.0,77.0
Sikkim,139.0,108.0
Tamil Nadu,-109.0,-299.0
Telangana,-96.0,-135.0
Tripura,208.0,6.0
Uttar Pradesh,-59.0,88.0
Uttarakhand,-93.0,181.0
West Bengal,103.0,-7.0